PermitClass,PermitTypeDesc,HousingUnits,HousingUnitsRemoved,HousingUnitsAdded,EstProjectCost,StatusCurrent,OriginalAddress1,OriginalCity,OriginalZip
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Issued,7711 31ST AVE NE,,
Multifamily,Addition/Alteration,,,,"4,048",Issued,3456 14TH AVE W,SEATTLE,98119
Commercial,Addition/Alteration,,,,"74,000",Issued,2300 24TH AVE E,SEATTLE,98112
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"250,000",Issued,727 HARVARD AVE E,,
Commercial,Tenant Improvment,,,,"18,000",Reviews In Process,600 UNIVERSITY ST,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"2,700",Issued,845 S DONOVAN ST,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,1,1,0,"75,000",Issued,1516 34TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,,,,"8,500",Issued,558 N 84TH ST,SEATTLE,98103
Single Family/Duplex,,2,1,2,"1,000,000",Issued,7721 38TH AVE NE,SEATTLE,98115
Commercial,Demolition,,,,"1,000,000",Reviews In Process,5212 6TH AVE S,SEATTLE,98108
Single Family/Duplex,New,0,0,1,"356,020",Corrections Required,1919 SW WEBSTER ST,SEATTLE,98106
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"30,000",Issued,2902 11TH AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,,,,"106,104",Corrections Required,2410 11TH AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,,,,"60,604",Corrections Required,4119 BAGLEY AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,0,0,1,"42,000",Reviews In Process,706 N 78TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,4207 BAGLEY AVE N,SEATTLE,98103
Commercial,Addition/Alteration,,,,"985,000",Reviews In Process,4716 RAINIER AVE S,SEATTLE,98118
Single Family/Duplex,New,,,,"215,265",Application Completed,8717 12TH AVE NW,SEATTLE,98117
Single Family/Duplex,New,,,,"60,000",Issued,4057 48TH AVE SW,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"13,901",Issued,13028 28TH AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,0,"191,067",Corrections Required,1127 NW 64TH ST,SEATTLE,98107
Multifamily,New,,,,"991,022",Application Completed,940 NW 54TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,0,0,1,"105,000",Reviews In Process,6001 51ST AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"4,800",Completed,3153 NE 84TH ST,SEATTLE,98115
Commercial,New,,,,"92,459,977",Reviews In Process,816 MERCER ST,SEATTLE,98109
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,6420 CALIFORNIA AVE SW,SEATTLE,98136
Single Family/Duplex,Addition/Alteration,0,0,0,"329,500",Reviews In Process,7717 LAKEMONT DR NE,SEATTLE,98115
Single Family/Duplex,Demolition,1,1,0,"527,775",Issued,4230 2ND AVE NE,SEATTLE,98105
Commercial,Addition/Alteration,,,,"250,000",Reviews In Process,701 5TH AVE,SEATTLE,98104
Multifamily,New,,,,"751,591",Application Completed,1242 15TH AVE E,SEATTLE,98112
Commercial,Addition/Alteration,0,0,0,"67,500",Reviews In Process,2200 6TH AVE,SEATTLE,98121
Single Family/Duplex,Demolition,2,2,0,"10,000",Issued,708 NE 42ND ST,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"60,000",Issued,7560 1st AVE NE,,
Single Family/Duplex,Addition/Alteration,1,0,0,"225,000",Reviews In Process,8556 SAND POINT WAY NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Issued,718 20TH AVE E,SEATTLE,98112
Single Family/Duplex,New,,,,"2,000",Issued,1106 NW 63RD ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,,,,"10,000",Reviews In Process,4819 49TH AVE S,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,1,0,0,"35,000",Issued,9031 32nd AVE SW,,
Single Family/Duplex,Addition/Alteration,,,,"10,000",Issued,6218 22ND AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"80,000",Reviews In Process,4832 38TH AVE NE,SEATTLE,98105
Multifamily,New,0,0,185,"34,469,121",Reviews In Process,821 S WASHINGTON ST,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,,,,"10,000",Issued,8211 CORLISS AVE N,,
Single Family/Duplex,Addition/Alteration,,,,"250,000",Ready for Issuance,3403 E SAINT ANDREWS WAY,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,0,0,"27,000",Issued,7703 22nd AVE NE,,
Single Family/Duplex,New,,,,"310,000",Reviews In Process,7231 WEST GREEN LAKE DR N,SEATTLE,98103
Institutional,Addition/Alteration,,,,"820,000",Reviews In Process,4800 SAND POINT WAY NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"75,000",Issued,439 36TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Issued,2124 NE RAVENNA BLVD,SEATTLE,98105
Commercial,New,,,,"2,428,337",Reviews In Process,1580 Alaskan WAY,,
Commercial,Addition/Alteration,,,,"36,000",Issued,51 university ST,,
Commercial,Addition/Alteration,,,,"95,000",Ready for Issuance,2001 WESTERN AVE,SEATTLE,98121
Multifamily,Addition/Alteration,0,0,0,"100,000",Reviews In Process,2615 1ST AVE,SEATTLE,98121
Single Family/Duplex,Addition/Alteration,,,,"3,000",Completed,2539 30TH AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,0,"7,000",Issued,2608 27TH AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"12,000",Issued,815 33rd AVE E,,
Single Family/Duplex,Addition/Alteration,1,0,0,"25,000",Ready for Issuance,832 37TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,0,0,"750,000",Reviews In Process,2200 E NEWTON ST,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,0,2,"484,666",Application Completed,4007 Midvale AVE N,,
Single Family/Duplex,New,0,0,3,"638,823",Reviews In Process,1540 NE 89TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,10807 41ST AVE SW,SEATTLE,98146
Multifamily,Demolition,4,4,25,"4,000,000",Corrections Required,301 BELMONT AVE E,SEATTLE,98102
Multifamily,Addition/Alteration,,,,"900,000",Ready for Issuance,2001 E YESLER WAY,SEATTLE,98122
Commercial,Addition/Alteration,,,,"10,000",Issued,651 N 34th ST,,
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,2100 30TH AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,1,"155,593",Corrections Required,3538 S HUDSON ST,SEATTLE,98118
Commercial,Addition/Alteration,0,0,0,"35,000",Issued,1000 TURNER WAY E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"8,000",Issued,3815 SW 106TH ST,,
Single Family/Duplex,Addition/Alteration,,,,"10,000",Issued,3212 NE 70th ST,,
Single Family/Duplex,Addition/Alteration,0,0,1,"225,000",Reviews In Process,3407 44TH AVE SW,SEATTLE,98116
Single Family/Duplex,New,0,0,2,"400,000",Reviews In Process,919 NW 56th ST,,
Commercial,Addition/Alteration,0,0,0,"15,000",Issued,1131 POPLAR PL S,SEATTLE,98144
Commercial,Tenant Improvment,,,,"600,000",Reviews In Process,2211 ELLIOTT AVE,SEATTLE,98121
Single Family/Duplex,Addition/Alteration,1,0,0,"175,391",Reviews In Process,857 NW 65TH ST,SEATTLE,98117
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Multifamily,,,,,"875,000",Application Completed,832 NW 54TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,,,,"299,359",Corrections Required,4851 29TH AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"75,000",Reviews In Process,1767 N 143RD ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,,,,"50,000",Issued,3056 37TH AVE W,SEATTLE,98199
Institutional,Addition/Alteration,,,,"40,000",Issued,318 2ND AV ET S,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,,,,"75,000",Issued,612 N 64TH ST,SEATTLE,98103
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,2,0,0,"174,102",Corrections Required,2211 2ND AVE W,,
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Issued,3516 32ND AVE W,SEATTLE,98199
Commercial,Addition/Alteration,1,0,0,"20,000",Reviews In Process,2107 N 63RD ST,SEATTLE,98103
Commercial,Addition/Alteration,,,,"1,140,000",Reviews In Process,5500 4TH AVE S,SEATTLE,98108
Commercial,Addition/Alteration,,,,"80,000",Issued,1502 6TH AVE S,SEATTLE,98134
Multifamily,New,,,,"874,741",Application Completed,2711 14TH AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Reviews In Process,320 36th AVE E,,
Single Family/Duplex,Addition/Alteration,1,0,0,"100,000",Application Completed,710 N 90TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"7,000",Completed,7319 18TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"15,000",Ready for Issuance,1822 1ST AVE N,SEATTLE,98109
Multifamily,Addition/Alteration,,,,"75,000",Issued,612 PROSPECT ST,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"21,600",Reviews In Process,5736 SW ADMIRAL WAY,SEATTLE,98116
Single Family/Duplex,Addition/Alteration,,,,"75,000",Issued,2337 N 61ST ST,SEATTLE,98103
Single Family/Duplex,Demolition,1,1,3,0,Issued,2853 NW 63RD ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,1,0,0,"25,000",Issued,336 N 83RD ST,SEATTLE,98103
Multifamily,Addition/Alteration,,,,"12,000",Awaiting Information,3801 STONE WAY N,,
Commercial,Addition/Alteration,0,0,0,"40,000",Issued,6050 EAST MARGINAL WAY S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,,,,"45,000",Issued,4019 59TH AVE SW,SEATTLE,98116
Single Family/Duplex,Demolition,,,,"350,000",Issued,202 N 100TH ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,0,0,0,"125,000",Issued,2502 32ND AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"6,400",Completed,8337 36TH AVE S,SEATTLE,98118
Single Family/Duplex,Demolition,0,0,8,"900,000",Issued,918 N 100TH ST,SEATTLE,98133
Single Family/Duplex,New,,,,"32,430",Application Completed,820 S ROSE ST,SEATTLE,98108
Institutional,Addition/Alteration,,,,"5,000",Corrections Required,11530 12TH AVE NE,SEATTLE,98125
Commercial,Addition/Alteration,0,0,0,"210,000",Issued,1201 NE 65TH ST,SEATTLE,98115
Commercial,Addition/Alteration,,,,"1,000,000",Reviews In Process,5600 ROOSEVELT WAY NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,,,,"13,846",Issued,2038 NE 135TH ST,SEATTLE,98125
Single Family/Duplex,New,1,1,3,"615,160",Corrections Required,2415 E BOSTON ST,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"113,932",Awaiting Information,5119 KEYSTONE PL N,,
Single Family/Duplex,New,,,,"293,859",Application Completed,2214 NE 125TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,0,0,1,"220,000",Reviews In Process,1051 NE 96TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,1,0,0,"93,375",Issued,3222 28TH AVE W,SEATTLE,98199
Commercial,Addition/Alteration,,,,"1,536,693",Reviews In Process,1523 AIRPORT WAY S,SEATTLE,98134
Multifamily,Addition/Alteration,,,,"100,000",Reviews In Process,222 S WASHINGTON ST,SEATTLE,98104
Commercial,Addition/Alteration,,,,"15,000",Corrections Required,942 19TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,,,,"2,500",Issued,2463 Montavista PL W,,
Single Family/Duplex,Addition/Alteration,0,0,0,"175,000",Issued,4220 NE 85TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,0,0,1,"120,000",Issued,723 13TH AVE E,SEATTLE,98102
Commercial,Demolition,0,0,0,"50,000",Issued,911 NE 50TH ST,SEATTLE,98105
Single Family/Duplex,New,0,0,1,"292,156",Reviews In Process,918 N 97TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"250,000",Issued,1406 SHENANDOAH DR E,SEATTLE,98112
Vacant Land,,,,,"4,000",Reviews In Process,4717 WEST MARGINAL WAY SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,,,,"75,000",Issued,5723 KEYSTONE PL N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"75,000",Issued,1603 BROADMOOR DR E,SEATTLE,98112
Multifamily,Addition/Alteration,,,,"115,000",Issued,900 UNIVERSITY ST,SEATTLE,98101
Commercial,Addition/Alteration,,,,"150,000",Awaiting Information,2651 NE 46TH ST,,
Multifamily,New,13,0,10,"8,000,000",Reviews In Process,130 18TH AVE E,SEATTLE,98112
Single Family/Duplex,,,,,"8,000",Application Completed,2130 N 62ND ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,0,0,0,"127,685",Corrections Required,3221 20TH AVE S,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,,,,"75,000",Reviews In Process,4135 2ND AVE NW,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,,,,"55,000",Issued,321 NW 90TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"25,000",Issued,2583 7TH AVE W,SEATTLE,98119
Commercial,Tenant Improvment,,,,"80,000",Reviews In Process,711 2ND AVE,SEATTLE,98104
Single Family/Duplex,Addition/Alteration,,,,"4,800",Completed,3926 SW SOUTHERN ST,SEATTLE,98136
Single Family/Duplex,Demolition,1,1,3,"600,000",Issued,9002 15TH AVE SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,,,,"75,000",Reviews In Process,2802 17TH AVE S,SEATTLE,98144
Commercial,Tenant Improvment,,,,"30,000",Issued,705 5TH AVE S,SEATTLE,98104
Multifamily,Addition/Alteration,0,0,0,"45,000",Issued,6055 35TH AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,1,0,0,"75,000",Issued,2012 5TH AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Reviews In Process,5515 S BANGOR ST,SEATTLE,98178
Commercial,Addition/Alteration,,,,"5,000,000",Reviews In Process,1201 1ST AVE S,,
Commercial,Demolition,,,,"4,250,000",Issued,9201 DELRIDGE WAY SW,,
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Issued,1325 SUNSET AVE SW,SEATTLE,98116
Commercial,Addition/Alteration,0,0,0,"177,050",Reviews In Process,2315 WESTERN AVE,SEATTLE,98121
Single Family/Duplex,Addition/Alteration,,,,"195,000",Issued,712 RANDOLPH PL,SEATTLE,98122
Single Family/Duplex,New,,,,"264,917",Application Completed,4626 S ORCHARD ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,0,0,1,"40,000",Reviews In Process,354 NE 56TH ST,SEATTLE,98105
Commercial,Addition/Alteration,,,,"50,000",Issued,4226 E MADISON ST,,
Commercial,New,,,,"700,000",Reviews In Process,5212 6TH AVE S,SEATTLE,98108
Institutional,Addition/Alteration,,,,"300,000",Reviews In Process,2310 S Lane ST,,
Single Family/Duplex,Addition/Alteration,,,,"20,000",Issued,4403 THACKERAY PL NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Issued,3439 magnolia BLVD W,,
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"7,283",Issued,3804 48TH AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,1,0,1,"10,000",Application Completed,2026 S LANE ST,SEATTLE,98144
Single Family/Duplex,Addition/Alteration,1,0,1,"150,000",Reviews In Process,5430 40TH AVE SW,SEATTLE,98136
Single Family/Duplex,New,,,,"215,265",Application Completed,8717 12TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"150,000",Issued,11327 23rd AVE NE,,
Single Family/Duplex,Addition/Alteration,1,0,0,"75,000",Issued,5733 WOODLAWN AVE N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"5,000",Issued,10016 15TH AVE NW,SEATTLE,98177
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Commercial,New,,,,"500,000",Reviews In Process,1300 NE 45TH ST,SEATTLE,98105
Single Family/Duplex,,,,,"12,000",Reviews In Process,510 W SMITH ST,SEATTLE,98119
Single Family/Duplex,Demolition,1,1,3,"450,000",Issued,6726 17TH AVE NW,SEATTLE,98117
Commercial,Addition/Alteration,,,,"25,800",Issued,300 9TH AVE,SEATTLE,98104
Multifamily,New,4,4,18,"741,517",Application Completed,8313 12th AVE NW,,
Commercial,Addition/Alteration,,,,"160,000",Awaiting Information,1000 DENNY WAY,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"127,152",Reviews In Process,4235 S RAYMOND ST,SEATTLE,98118
Single Family/Duplex,Demolition,,,,0,Application Completed,5545 KENWOOD PL N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"80,000",Issued,5016 BAKER AVE NW,SEATTLE,98107
Commercial,Addition/Alteration,,,,"503,305",Issued,5350 Tallman AVE NW,,
Multifamily,New,,,,"536,485",Application Completed,914 NW 56TH ST,SEATTLE,98107
Single Family/Duplex,Addition/Alteration,,,,100,Issued,1925 NE NORTHGATE WAY,SEATTLE,98125
Single Family/Duplex,New,1,1,1,"675,375",Reviews In Process,4852 S FINDLAY ST,SEATTLE,98118
Single Family/Duplex,New,0,0,2,"298,632",Reviews In Process,928 23RD AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"50,000",Issued,4019 Cascadia AVE S,,
Industrial,Addition/Alteration,,,,"50,000",Issued,1120 W EWING ST,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,0,0,0,"8,417",Reviews In Process,13045 23RD AVE NE,SEATTLE,98125
Commercial,Addition/Alteration,,,,"10,000",Issued,601 N 34th ST,,
Single Family/Duplex,Addition/Alteration,1,0,0,"3,146",Issued,8831 16TH AVE SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,1,0,0,"184,858",Corrections Submitted,12005 7TH AVE NW,SEATTLE,98177
Single Family/Duplex,Addition/Alteration,,,,"2,000",Issued,806 29th AVE S,,
Single Family/Duplex,New,,,,"293,859",Application Completed,2212 NE 125TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,1106 W RAYE ST,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,1,0,1,"500,000",Corrections Required,5655 NE WINDERMERE RD,SEATTLE,98105
Multifamily,Demolition,0,0,104,"11,000,000",Corrections Required,4015 STONE WAY N,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,,,,"4,155",Completed,3832 28TH AVE W,SEATTLE,98199
Single Family/Duplex,New,0,0,3,"220,311",Application Completed,3546 A S MORGAN ST,SEATTLE,98118
Single Family/Duplex,New,0,0,2,"344,267",Reviews In Process,8028 13TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,,,,"20,000",Issued,10407 64TH AVE S,SEATTLE,98178
Single Family/Duplex,Addition/Alteration,,,,500,Issued,3814 23RD AVE W,SEATTLE,98199
Multifamily,Addition/Alteration,,,,"288,292",Reviews In Process,1035 NE 100TH ST,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"42,000",Issued,12714 42ND AVE NE,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,1,0,0,"80,000",Issued,1716 NE RAVENNA BLVD,SEATTLE,98105
Commercial,Addition/Alteration,,,,"91,500",Issued,300 PINE ST,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"3,000",Issued,6030 28TH AVE NE,SEATTLE,98115
Multifamily,New,3,3,6,"655,276",Application Completed,1223 TAYLOR AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,1,0,0,"5,000",Issued,10303 12TH AVE NW,SEATTLE,98177
Multifamily,Addition/Alteration,,,,"240,559",Reviews In Process,2711 14TH AVE S,SEATTLE,98144
Multifamily,New,,,,"58,419,125",Reviews In Process,10631 8th AVE NE,,
Single Family/Duplex,Demolition,,,,"600,000",Issued,1011 N 36TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,1,"200,000",Corrections Required,8620 31ST AVE SW,SEATTLE,98126
Single Family/Duplex,Addition/Alteration,1,0,0,"150,000",Corrections Required,3447 11th AVE W,,
Commercial,New,,,,"19,037,938",Reviews In Process,401 NE NORTHGATE WAY,SEATTLE,98125
Single Family/Duplex,Addition/Alteration,,,,"9,300",Application Completed,8809 12TH AVE SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,1,0,0,"15,000",Issued,3406 NW 65TH ST,,
Single Family/Duplex,Demolition,,,,"550,000",Reviews In Process,7776 HIGHLAND PARK WAY SW,SEATTLE,98106
Single Family/Duplex,Addition/Alteration,1,0,0,"120,000",Issued,2309 WARREN AVE N,SEATTLE,98109
Single Family/Duplex,Addition/Alteration,,,,"8,000",Issued,3815 SW 106th ST,,
Single Family/Duplex,New,0,0,23,"57,116",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Commercial,Tenant Improvment,,,,"1,430,346",Reviews In Process,601 UNION ST,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"15,000",Application Completed,2240 W HALLADAY ST,SEATTLE,98199
Commercial,Addition/Alteration,,,,"150,000",Reviews In Process,1525 11TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"150,000",Issued,9726 11TH AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,1,"5,000",Reviews In Process,3007 31ST AVE W,SEATTLE,98199
Commercial,Tenant Improvment,,,,"2,000,000",Reviews In Process,635 ELLIOTT AVE W,SEATTLE,98119
Commercial,Addition/Alteration,0,0,0,"275,000",Reviews In Process,225 TERRY AVE N,SEATTLE,98109
Industrial,,,,,"1,210,000",Application Completed,8105 1ST AVE S,SEATTLE,98108
Single Family/Duplex,Addition/Alteration,1,0,0,"35,000",Issued,5723 33rd AVE NE,,
Single Family/Duplex,Addition/Alteration,,,,"5,000",Issued,10316 MARY AVE NW,SEATTLE,98177
Single Family/Duplex,New,1,0,1,"348,246",Reviews In Process,3252 S HUDSON ST,SEATTLE,98118
Single Family/Duplex,Addition/Alteration,,,,"57,040",Issued,9028 PHINNEY AVE N,,
Industrial,Addition/Alteration,0,0,0,"30,000",Reviews In Process,5931 EAST MARGINAL WAY S,SEATTLE,98134
Institutional,Addition/Alteration,,,,"1,400,000",Reviews In Process,4320 SW Myrtle ST,,
Single Family/Duplex,Change of Use Only - No Construction,2,0,0,0,Reviews In Process,206 30TH AVE,SEATTLE,98122
Commercial,Addition/Alteration,0,0,0,"400,000",Reviews In Process,4001 1ST AVE S,SEATTLE,98134
Commercial,Addition/Alteration,,,,"8,900",Reviews In Process,3616 STONE WAY N,SEATTLE,98103
Single Family/Duplex,Demolition,,,,0,Ready for Issuance,1741 N 130TH ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,,,,"20,000",Issued,10225 37TH AVE SW,SEATTLE,98146
Single Family/Duplex,Demolition,,,,"1,000,000",Awaiting Information,7748 FOREST DR NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,0,0,1,"180,155",Reviews In Process,10745 LINDEN AVE N,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,1,0,0,"230,000",Issued,5741 38TH AVE NE,SEATTLE,98105
Commercial,Addition/Alteration,,,,"235,000",Awaiting Information,1201 3RD AVE,SEATTLE,98101
Single Family/Duplex,Addition/Alteration,,,,"221,886",Application Completed,466 39TH AVE E,SEATTLE,98112
Single Family/Duplex,Addition/Alteration,1,0,0,"75,000",Reviews In Process,6550 3RD AVE NW,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,0,"4,000",Issued,11715 3RD AVE NW,SEATTLE,98177
Commercial,Addition/Alteration,0,0,0,"50,000",Corrections Required,2900 3RD AVE W,SEATTLE,98119
Single Family/Duplex,Addition/Alteration,1,0,0,"125,000",Issued,10520 14TH AVE NW,SEATTLE,98177
Single Family/Duplex,Addition/Alteration,1,0,1,"167,304",Reviews In Process,7511 41ST AVE NE,SEATTLE,98115
Commercial,New,,,,"1,200,000",Reviews In Process,202 16TH AVE S,SEATTLE,98144
Industrial,Addition/Alteration,,,,"750,000",Application Completed,3613 4th AVE S,,
Commercial,New,0,0,23,"232,916",Application Completed,6343 NE 65TH ST,SEATTLE,98115
Commercial,Addition/Alteration,0,0,0,"40,000",Issued,100 NW 85TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,0,"20,000",Awaiting Information,3817 24TH AVE W,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,1,0,0,"30,000",Awaiting Information,2621 NW 98TH ST,SEATTLE,98117
Single Family/Duplex,Addition/Alteration,1,0,0,"200,000",Reviews In Process,7051 18TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"15,000",Issued,710 N 104TH ST,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,,,,"125,000",Issued,2614 37TH AVE W,SEATTLE,98199
Single Family/Duplex,New,,,,"384,041",Application Completed,10344 WALLINGFORD AVE N,SEATTLE,98133
Single Family/Duplex,Addition/Alteration,1,0,0,"40,000",Issued,2113 N 128TH ST,SEATTLE,98133
Single Family/Duplex,New,1,1,3,"362,000",Reviews In Process,5517 39TH AVE NE,SEATTLE,98105
Single Family/Duplex,Addition/Alteration,0,0,1,"30,000",Corrections Required,324 NW PUGET DR,SEATTLE,98177
Single Family/Duplex,Addition/Alteration,1,0,0,"120,000",Issued,2216 FEDERAL AVE E,SEATTLE,98102
Single Family/Duplex,Addition/Alteration,,,,"300,000",Corrections Required,4548 W SHERIDAN ST,SEATTLE,98199
Single Family/Duplex,Addition/Alteration,,,,"30,000",Awaiting Information,1418 35TH AVE,SEATTLE,98122
Single Family/Duplex,Addition/Alteration,1,0,0,"5,000",Reviews In Process,8615 5TH AVE NE,SEATTLE,98115
Single Family/Duplex,Addition/Alteration,,,,"300,000",Issued,7560 26TH AVE NW,SEATTLE,98117
Institutional,Addition/Alteration,0,0,0,"40,000",Issued,305 HARRISON ST,SEATTLE,98109
Commercial,Addition/Alteration,0,0,0,"205,000",Reviews In Process,411 1st AVE S,,
Commercial,Addition/Alteration,,,,"2,500",Issued,651 N 34TH ST,,
Single Family/Duplex,Addition/Alteration,,,,"30,000",Corrections Required,2619 NE 82ND ST,,
Institutional,,0,0,0,"54,000,000",Reviews In Process,3200 23RD AVE S,SEATTLE,98144
Single Family/Duplex,New,,,,"384,041",Reviews In Process,10348 Wallingford AVE N,SEATTLE,
Multifamily,Addition/Alteration,,,,"85,000",Issued,619 5th AVE W,,
Single Family/Duplex,New,,,,"223,977",Corrections Required,1011 N 36TH ST,SEATTLE,98103
Single Family/Duplex,Addition/Alteration,1,0,0,"348,225",Issued,928 N 81ST ST,SEATTLE,98103
